"avg_order_value","customer_zip_code_prefix","customer_city","customer_state"
"240.9320000000000000",11095,"santos","SP"
"80.4250000000000000",2418,"sao paulo","SP"
"85.5700000000000000",39825,"ladainha","MG"
"154.4425000000000000",89510,"cacador","SC"
"524.7000000000000000",40157,"salvador","BA"
"105.4900000000000000",57307,"arapiraca","AL"
"137.7514285714285714",13857,"estiva gerbi","SP"
"86.1150000000000000",13308,"itu","SP"
"30.4000000000000000",15718,"pontalinda","SP"
"320.2000000000000000",32405,"ibirite","MG"
"228.7725000000000000",11670,"caraguatatuba","SP"
"151.2225000000000000",27130,"barra do pirai","RJ"
"112.5814285714285714",73840,"campos belos","GO"
"89.0000000000000000",23832,"itaguai","RJ"
"82.4500000000000000",28992,"saquarema","RJ"
"29.9900000000000000",64063,"teresina","PI"
"163.1385000000000000",22040,"rio de janeiro","RJ"
"237.8150000000000000",2241,"sao paulo","SP"
"75.2457142857142857",79490,"sao gabriel do oeste","MS"
"132.5273333333333333",7152,"guarulhos","SP"
"60.6500000000000000",89837,"coronel martins","SC"
"49.9000000000000000",89199,"santa terezinha","SC"
"135.2225000000000000",25571,"sao joao de meriti","RJ"
"37.0000000000000000",7980,"francisco morato","SP"
"162.2171428571428571",6702,"cotia","SP"
"73.3690909090909091",35950,"alvinopolis","MG"
"176.5933333333333333",46300,"cacule","BA"
"55.0000000000000000",79280,"porto murtinho","MS"
"93.5760000000000000",78135,"varzea grande","MT"
"85.9860000000000000",2926,"sao paulo","SP"
"98.8957142857142857",1512,"sao paulo","SP"
"109.9000000000000000",26455,"japeri","RJ"
"53.9975000000000000",89022,"blumenau","SC"
"134.7500000000000000",8506,"ferraz de vasconcelos","SP"
"93.3666666666666667",2321,"sao paulo","SP"
"200.2600000000000000",21740,"rio de janeiro","RJ"
"14.4250000000000000",2650,"sao paulo","SP"
"249.9412500000000000",90630,"porto alegre","RS"
"99.9000000000000000",58421,"campina grande","PB"
"138.0000000000000000",62016,"sobral","CE"
"97.6153846153846154",26210,"nova iguacu","RJ"
"70.4425000000000000",88526,"lages","SC"
"71.6333333333333333",4250,"sao paulo","SP"
"57.5200000000000000",3090,"sao paulo","SP"
"86.1975000000000000",36844,"tombos","MG"
"142.5563636363636364",3733,"sao paulo","SP"
"49.4450000000000000",39450,"varzelandia","MG"
"109.3725000000000000",76920,"ouro preto do oeste","RO"
"120.0620000000000000",13575,"sao carlos","SP"
"327.6225000000000000",79940,"caarapo","MS"
"174.1540000000000000",41339,"salvador","BA"
"126.4580000000000000",7073,"guarulhos","SP"
"91.8951724137931034",1307,"sao paulo","SP"
"118.2922222222222222",13236,"campo limpo paulista","SP"
"119.9541666666666667",95270,"flores da cunha","RS"
"58.7500000000000000",29117,"vila velha","ES"
"89.4500000000000000",6729,"cotia","SP"
"98.9900000000000000",72321,"brasilia","DF"
"130.9966666666666667",3431,"sao paulo","SP"
"59.9000000000000000",13349,"indaiatuba","SP"
"59.9000000000000000",35335,"sao domingos das dores","MG"
"65.9400000000000000",72547,"brasilia","DF"
"50.3300000000000000",37903,"passos","MG"
"122.7580000000000000",78255,"jauru","MT"
"144.6285714285714286",6114,"osasco","SP"
"202.3173333333333333",90480,"porto alegre","RS"
"21.9000000000000000",1431,"sao paulo","SP"
"210.1316666666666667",30664,"belo horizonte","MG"
"184.9000000000000000",17034,"bauru","SP"
"214.9950000000000000",76825,"porto velho","RO"
"192.1150000000000000",26292,"nova iguacu","RJ"
"109.1083333333333333",7866,"franco da rocha","SP"
"239.9900000000000000",95485,"osvaldo kroeff","RS"
"170.5740000000000000",11086,"santos","SP"
"38.2000000000000000",73402,"brasilia","DF"
"122.2832142857142857",15015,"sao jose do rio preto","SP"
"78.4500000000000000",45270,"nova canaa","BA"
"77.9000000000000000",98975,"campina das missoes","RS"
"146.3700000000000000",6429,"barueri","SP"
"107.2250000000000000",4147,"sao paulo","SP"
"156.2715384615384615",88302,"itajai","SC"
"126.9742857142857143",85869,"foz do iguacu","PR"
"150.4950000000000000",99711,"erechim","RS"
"112.1536363636363636",17300,"dois corregos","SP"
"840.6200000000000000",56318,"petrolina","PE"
"141.6223809523809524",18540,"porto feliz","SP"
"74.0690000000000000",5842,"sao paulo","SP"
"130.0000000000000000",89828,"lajeado grande","SC"
"118.5180000000000000",70740,"brasilia","DF"
"179.4944444444444444",44085,"feira de santana","BA"
"220.9388888888888889",32143,"contagem","MG"
"129.3000000000000000",79073,"campo grande","MS"
"154.9225000000000000",60713,"fortaleza","CE"
